routine_idx,elapsed_min,numer,denom,routine_start,rate
1102,56.63333333333333,0,1,2026-06-09 01:31:43.093000+00:00,0.0
1105,87.78333333333333,0,2,2026-06-09 05:21:32.997000+00:00,0.0
1106,82.5,0,3,2026-06-09 06:42:52.420000+00:00,0.0
1107,169.63333333333333,0,1,2026-06-09 09:35:12.228000+00:00,0.0
1108,74.66666666666667,0,2,2026-06-09 10:46:25.182000+00:00,0.0
1109,66.38333333333334,1,1,2026-06-09 11:55:22.431000+00:00,1.0
1111,59.516666666666666,0,2,2026-06-09 14:00:29.634000+00:00,0.0
1112,59.583333333333336,1,2,2026-06-09 14:56:25.354000+00:00,0.5
1113,63.266666666666666,0,1,2026-06-09 15:59:16.795000+00:00,0.0
1114,65.23333333333333,0,1,2026-06-09 17:03:43.906000+00:00,0.0
1116,47.36666666666667,1,2,2026-06-09 18:37:59.752000+00:00,0.5
1117,49.75,0,1,2026-06-09 19:26:55.489000+00:00,0.0
1119,44.25,0,2,2026-06-09 21:07:19.457000+00:00,0.0
1120,41.55,0,1,2026-06-09 21:47:43.738000+00:00,0.0
1121,34.63333333333333,0,3,2026-06-09 22:22:39.649000+00:00,0.0
1122,36.15,0,1,2026-06-09 23:02:16.896000+00:00,0.0
1124,29.95,0,2,2026-06-10 00:07:47.574000+00:00,0.0
1125,59.833333333333336,1,3,2026-06-10 01:08:21.521000+00:00,0.3333333333333333
1129,103.55,0,1,2026-06-10 06:42:12.865000+00:00,0.0
1130,87.36666666666666,0,1,2026-06-10 08:08:11.652000+00:00,0.0
1131,80.66666666666667,0,1,2026-06-10 09:37:55.762000+00:00,0.0
1135,70.98333333333333,0,1,2026-06-10 15:02:03.145000+00:00,0.0
1137,76.81666666666666,1,2,2026-06-10 17:33:41.110000+00:00,0.5
1139,61.78333333333333,0,1,2026-06-10 19:38:33.513000+00:00,0.0
1140,55.13333333333333,0,1,2026-06-10 20:32:20.021000+00:00,0.0
1141,62.38333333333333,1,5,2026-06-10 21:31:18.218000+00:00,0.2
1143,41.46666666666667,0,3,2026-06-10 23:05:17.189000+00:00,0.0
1144,34.81666666666667,0,1,2026-06-10 23:42:16.755000+00:00,0.0
1145,32.81666666666667,0,1,2026-06-11 00:13:06.375000+00:00,0.0
1148,86.95,1,1,2026-06-11 03:58:19.035000+00:00,1.0
1150,109.66666666666667,0,1,2026-06-11 07:19:51.654000+00:00,0.0
1152,99.56666666666666,2,4,2026-06-11 10:43:09.584000+00:00,0.5
1155,77.1,1,2,2026-06-11 15:17:25.253000+00:00,0.5
1156,88.66666666666667,0,1,2026-06-11 16:44:37.386000+00:00,0.0
1157,76.21666666666667,0,1,2026-06-11 17:49:46.602000+00:00,0.0
1159,56.583333333333336,0,1,2026-06-11 19:51:55.071000+00:00,0.0
1160,53.666666666666664,1,2,2026-06-11 20:46:23.234000+00:00,0.5
1161,56.916666666666664,0,1,2026-06-11 21:48:08.475000+00:00,0.0
1162,45.016666666666666,0,2,2026-06-11 22:29:06.406000+00:00,0.0
1165,35.7,0,1,2026-06-12 00:17:49.578000+00:00,0.0
1167,53.5,0,2,2026-06-12 02:30:11.518000+00:00,0.0
1169,95.9,0,2,2026-06-12 05:31:05.615000+00:00,0.0
1170,99.8,0,2,2026-06-12 07:10:56.740000+00:00,0.0
1171,102.25,1,2,2026-06-12 08:55:46.366000+00:00,0.5
1172,88.66666666666667,0,2,2026-06-12 10:25:30.242000+00:00,0.0
1173,78.15,0,1,2026-06-12 11:40:15.898000+00:00,0.0
1174,69.36666666666666,0,1,2026-06-12 12:51:37.543000+00:00,0.0
1177,69.45,0,1,2026-06-12 16:25:52.214000+00:00,0.0
1180,45.06666666666667,0,1,2026-06-12 19:07:18.036000+00:00,0.0
1182,46.75,1,2,2026-06-12 20:46:03.944000+00:00,0.5
1184,44.31666666666667,0,1,2026-06-12 22:11:53.805000+00:00,0.0
1186,42.45,0,1,2026-06-12 23:39:39.108000+00:00,0.0
1187,34.56666666666667,0,1,2026-06-13 00:12:28.967000+00:00,0.0
1188,81.41666666666667,0,1,2026-06-13 01:39:00.175000+00:00,0.0
1189,53.35,0,1,2026-06-13 02:28:00.551000+00:00,0.0
1191,90.65,0,2,2026-06-13 05:26:10.412000+00:00,0.0
1193,77.56666666666666,0,4,2026-06-13 08:11:50.644000+00:00,0.0
1194,74.31666666666666,0,1,2026-06-13 09:21:19.269000+00:00,0.0
1197,50.86666666666667,0,4,2026-06-13 12:02:55.045000+00:00,0.0
1199,42.333333333333336,0,4,2026-06-13 13:23:44.401000+00:00,0.0
1200,43.583333333333336,0,1,2026-06-13 14:06:31.103000+00:00,0.0
1201,49.68333333333333,0,1,2026-06-13 14:53:28.345000+00:00,0.0
1202,44.61666666666667,0,3,2026-06-13 15:42:36.473000+00:00,0.0
1204,36.516666666666666,1,1,2026-06-13 16:55:11.704000+00:00,1.0
1205,30.516666666666666,1,2,2026-06-13 17:26:56.696000+00:00,0.5
1208,29.85,0,2,2026-06-13 19:04:29.099000+00:00,0.0
1209,34.55,0,2,2026-06-13 19:39:30.886000+00:00,0.0
1210,35.3,0,1,2026-06-13 20:13:13.764000+00:00,0.0
1211,37.266666666666666,0,3,2026-06-13 20:50:39.708000+00:00,0.0
1213,30.65,0,2,2026-06-13 21:51:27.093000+00:00,0.0
1215,28.583333333333332,0,1,2026-06-13 22:45:09.412000+00:00,0.0
1217,31.483333333333334,0,1,2026-06-13 23:46:32.148000+00:00,0.0
1219,79.98333333333333,0,3,2026-06-14 01:36:21.361000+00:00,0.0
1221,83.4,0,2,2026-06-14 03:56:43.115000+00:00,0.0
1222,95.63333333333334,0,4,2026-06-14 05:30:38.027000+00:00,0.0
1223,101.35,0,1,2026-06-14 07:11:12.870000+00:00,0.0
1224,90.03333333333333,0,1,2026-06-14 08:40:42.290000+00:00,0.0
1225,85.25,0,1,2026-06-14 10:06:18.778000+00:00,0.0
1226,65.01666666666667,0,4,2026-06-14 11:10:07.690000+00:00,0.0
1228,41.3,1,4,2026-06-14 12:45:14.143000+00:00,0.25
1229,43.166666666666664,1,2,2026-06-14 13:29:14.323000+00:00,0.5
1230,56.21666666666667,0,1,2026-06-14 14:23:59.861000+00:00,0.0
1231,47.31666666666667,0,2,2026-06-14 15:10:50.534000+00:00,0.0
1232,49.96666666666667,0,2,2026-06-14 15:59:01.599000+00:00,0.0
1233,38.3,0,3,2026-06-14 16:39:33.796000+00:00,0.0
1236,39.46666666666667,0,3,2026-06-14 18:35:25.416000+00:00,0.0
1237,29.483333333333334,0,5,2026-06-14 19:06:15.702000+00:00,0.0
1238,35.4,1,2,2026-06-14 19:40:26.478000+00:00,0.5
1239,35.95,1,4,2026-06-14 20:14:16.648000+00:00,0.25
1241,28.033333333333335,0,4,2026-06-14 21:19:22.280000+00:00,0.0
1242,32.96666666666667,0,1,2026-06-14 21:53:45.345000+00:00,0.0
1244,27.966666666666665,0,1,2026-06-14 22:46:03.114000+00:00,0.0
1245,28.55,0,1,2026-06-14 23:16:58.529000+00:00,0.0
1247,27.3,0,2,2026-06-15 00:16:58.841000+00:00,0.0
1249,57.13333333333333,0,1,2026-06-15 02:36:14.634000+00:00,0.0
1250,80.58333333333333,0,1,2026-06-15 03:57:34.577000+00:00,0.0
1251,116.65,0,1,2026-06-15 05:54:16.432000+00:00,0.0
1253,130.11666666666667,0,1,2026-06-15 09:57:31.441000+00:00,0.0
1256,110.51666666666667,0,1,2026-06-15 16:26:21.645000+00:00,0.0
1258,87.35,0,1,2026-06-15 19:45:16.178000+00:00,0.0
1260,58.666666666666664,1,2,2026-06-15 21:47:54.022000+00:00,0.5
1262,41.7,0,2,2026-06-15 23:20:05.976000+00:00,0.0
1263,40.85,0,2,2026-06-16 00:02:12.644000+00:00,0.0
1264,45.9,0,3,2026-06-16 00:46:29.361000+00:00,0.0
1265,62.31666666666667,0,1,2026-06-16 01:48:34.365000+00:00,0.0
1268,119.48333333333333,0,4,2026-06-16 06:15:55.751000+00:00,0.0
1270,115.01666666666667,0,4,2026-06-16 10:24:49.887000+00:00,0.0
1271,106.2,0,1,2026-06-16 12:15:55.813000+00:00,0.0
1274,107.15,0,1,2026-06-16 17:51:46.578000+00:00,0.0
