tweet_id,feed,posted_at,snapshot_at,snapshot_impressions,current_at,current_impressions,current_likes,author_followers
2078175120728961254,xxl_dump,2026-07-17T17:48:54+00:00,2026-07-18T14:28:26.183+00:00,14,2026-07-22T10:05:51.148Z,14,0,78
2078175734426632272,xxl_dump,2026-07-17T17:51:20+00:00,2026-07-18T14:28:26.183+00:00,45891,2026-07-22T10:02:00.901Z,57577,18,4706
2078176271586951181,xxl_dump,2026-07-17T17:53:28+00:00,2026-07-18T14:28:26.183+00:00,169016,2026-07-22T10:05:48.608Z,329446,7474,460427
2078177166320185429,xxl_dump,2026-07-17T17:57:01+00:00,2026-07-18T14:28:26.183+00:00,55,2026-07-22T10:02:00.901Z,57,0,37
2078177919768433124,xxl_dump,2026-07-17T18:00:01+00:00,2026-07-18T14:28:26.183+00:00,79758,2026-07-22T10:05:48.608Z,130215,1420,93877
2078178279916273926,xxl_dump,2026-07-17T18:01:27+00:00,2026-07-18T14:28:26.183+00:00,18551,2026-07-22T10:05:51.148Z,20192,106,2511214
2078178787326660701,xxl_dump,2026-07-17T18:03:28+00:00,2026-07-18T14:28:26.183+00:00,232464,2026-07-22T10:02:00.901Z,279181,11551,855035
2078179238046240994,xxl_dump,2026-07-17T18:05:15+00:00,2026-07-18T14:28:26.183+00:00,39295,2026-07-22T10:05:48.608Z,43635,593,963031
2078179861877723547,xxl_dump,2026-07-17T18:07:44+00:00,2026-07-18T14:28:26.183+00:00,66721,2026-07-22T10:05:51.148Z,206967,1890,161475
2078180368008806549,xxl_dump,2026-07-17T18:09:45+00:00,2026-07-18T14:28:26.183+00:00,4829,2026-07-22T10:02:00.901Z,4847,0,12
2078180851557560817,xxl_dump,2026-07-17T18:11:40+00:00,2026-07-18T14:28:26.183+00:00,260020,2026-07-22T10:05:48.608Z,348529,11430,17748
2078181399006515588,xxl_dump,2026-07-17T18:13:50+00:00,2026-07-18T14:28:26.183+00:00,2947121,2026-07-22T10:05:51.148Z,5717934,27025,3137
2078181775499551000,xxl_dump,2026-07-17T18:15:20+00:00,2026-07-18T14:28:26.183+00:00,137,2026-07-22T10:02:00.901Z,167,0,179380
2078182390023831596,xxl_dump,2026-07-17T18:17:47+00:00,2026-07-18T14:28:26.183+00:00,1544,2026-07-22T10:05:48.608Z,1784,35,46577
2078182828076838943,xxl_dump,2026-07-17T18:19:31+00:00,2026-07-18T14:28:26.183+00:00,4631,2026-07-22T10:05:51.148Z,5378,233,13949
2078183217526428027,xxl_dump,2026-07-17T18:21:04+00:00,2026-07-18T14:28:26.183+00:00,362011,2026-07-22T10:02:00.901Z,368897,1536,300682
2078183782402633973,xxl_dump,2026-07-17T18:23:19+00:00,2026-07-18T14:28:26.183+00:00,8,2026-07-22T10:05:48.608Z,8,0,2210
2078184266668683618,xxl_dump,2026-07-17T18:25:14+00:00,2026-07-18T14:28:26.183+00:00,23781,2026-07-22T10:05:51.148Z,26795,346,879879
2078185047300190718,xxl_dump,2026-07-17T18:28:20+00:00,2026-07-18T14:28:26.183+00:00,19351,2026-07-22T10:02:00.901Z,22712,374,194617
2078185464872452417,xxl_dump,2026-07-17T18:30:00+00:00,2026-07-18T14:28:26.183+00:00,234377,2026-07-22T10:05:48.608Z,555111,27592,4341378
2078185930498662651,xxl_dump,2026-07-17T18:31:51+00:00,2026-07-18T14:28:26.183+00:00,1265,2026-07-22T10:05:51.148Z,1521,60,26865
2078186395936461089,xxl_dump,2026-07-17T18:33:42+00:00,2026-07-18T14:28:26.183+00:00,52308,2026-07-22T10:02:00.901Z,59766,910,2201329
2078186889350181206,xxl_dump,2026-07-17T18:35:39+00:00,2026-07-18T14:28:26.183+00:00,125757,2026-07-22T10:05:48.608Z,158904,6698,11597618
2078187718371090724,xxl_dump,2026-07-17T18:38:57+00:00,2026-07-18T14:28:26.183+00:00,42,2026-07-22T10:05:51.148Z,46,2,4
2078188218013684140,xxl_dump,2026-07-17T18:40:56+00:00,2026-07-18T14:28:26.183+00:00,3528,2026-07-22T10:02:00.901Z,3791,30,222697
2078188769933447177,xxl_dump,2026-07-17T18:43:08+00:00,2026-07-18T14:28:26.183+00:00,65344,2026-07-22T10:05:48.608Z,72266,404,11260
2078189242908336137,xxl_dump,2026-07-17T18:45:01+00:00,2026-07-18T14:28:26.183+00:00,19,2026-07-22T10:05:51.148Z,19,0,89
2078189754328502691,xxl_dump,2026-07-17T18:47:02+00:00,2026-07-18T14:28:26.183+00:00,45,2026-07-22T10:02:00.901Z,68,0,342
2078190318596550817,xxl_dump,2026-07-17T18:49:17+00:00,2026-07-18T14:28:26.183+00:00,15409,2026-07-22T10:05:48.608Z,18366,1077,125182
2078190909561229516,xxl_dump,2026-07-17T18:51:38+00:00,2026-07-18T14:28:26.183+00:00,3270,2026-07-22T10:05:51.148Z,3793,110,24641
2078191675055243352,xxl_dump,2026-07-17T18:54:40+00:00,2026-07-18T14:28:26.183+00:00,242610,2026-07-22T10:02:00.901Z,469971,44657,62259
2078192143361868001,xxl_dump,2026-07-17T18:56:32+00:00,2026-07-18T14:28:26.183+00:00,253,2026-07-22T10:05:48.608Z,276,6,39
2078192926929146328,xxl_dump,2026-07-17T18:59:39+00:00,2026-07-18T14:28:26.183+00:00,1328,2026-07-22T10:05:51.148Z,1419,49,1436
2078193312779960448,xxl_dump,2026-07-17T19:01:11+00:00,2026-07-18T14:28:26.183+00:00,10,2026-07-22T10:02:00.901Z,12,0,154
2078193838372356539,xxl_dump,2026-07-17T19:03:16+00:00,2026-07-18T14:28:26.183+00:00,694,2026-07-22T10:05:48.608Z,978,6,175
2078194372890218936,xxl_dump,2026-07-17T19:05:24+00:00,2026-07-18T14:28:26.183+00:00,15079,2026-07-22T10:05:51.148Z,22348,1519,6030
2078195189529584071,xxl_dump,2026-07-17T19:08:38+00:00,2026-07-18T14:28:26.183+00:00,62,2026-07-22T10:02:00.901Z,68,1,45
2078195732818088209,xxl_dump,2026-07-17T19:10:48+00:00,2026-07-18T14:28:26.183+00:00,6366,2026-07-22T10:05:48.608Z,7766,76,251709
2078196306053583214,xxl_dump,2026-07-17T19:13:05+00:00,2026-07-18T14:28:26.183+00:00,128331,2026-07-22T10:05:51.148Z,148912,8254,394506
2078196732966375822,xxl_dump,2026-07-17T19:14:46+00:00,2026-07-18T14:28:26.183+00:00,50,2026-07-22T10:02:00.901Z,78,1,3202
2078197922852954282,xxl_dump,2026-07-17T19:19:30+00:00,2026-07-18T14:28:26.183+00:00,23,2026-07-22T10:05:51.148Z,24,0,9
2078198531421016557,xxl_dump,2026-07-17T19:21:55+00:00,2026-07-18T14:28:26.183+00:00,4332,2026-07-22T10:02:00.901Z,4512,72,36632
2078199157022396695,xxl_dump,2026-07-17T19:24:24+00:00,2026-07-18T14:28:26.183+00:00,43,2026-07-22T10:05:48.608Z,50,1,171
2078199735123390800,xxl_dump,2026-07-17T19:26:42+00:00,2026-07-18T14:28:26.183+00:00,19,2026-07-22T10:05:51.148Z,20,0,2081
2078200334380318841,xxl_dump,2026-07-17T19:29:05+00:00,2026-07-18T14:28:26.183+00:00,114635,2026-07-22T10:02:00.901Z,151502,16436,889135
2078200724152778826,xxl_dump,2026-07-17T19:30:38+00:00,2026-07-18T14:28:26.183+00:00,25473,2026-07-22T10:05:48.608Z,31939,58,16835
2078201146099810774,xxl_dump,2026-07-17T19:32:18+00:00,2026-07-18T14:28:26.183+00:00,106645,2026-07-22T10:05:51.148Z,141636,1217,370234
2078201666445443150,xxl_dump,2026-07-17T19:34:23+00:00,2026-07-18T14:28:26.183+00:00,186,2026-07-22T10:02:00.901Z,277,0,157
2078202489103692103,xxl_dump,2026-07-17T19:37:39+00:00,2026-07-18T14:28:26.183+00:00,12541,2026-07-22T10:05:48.608Z,13918,137,10826
2078203083251683722,xxl_dump,2026-07-17T19:40:00+00:00,2026-07-18T14:28:26.183+00:00,370925,2026-07-22T10:05:51.148Z,425759,4121,176168
2078203723801637079,xxl_dump,2026-07-17T19:42:33+00:00,2026-07-18T14:28:26.183+00:00,2344,2026-07-22T10:02:00.901Z,2960,52,1134
2078204447558160759,xxl_dump,2026-07-17T19:45:26+00:00,2026-07-18T14:28:26.183+00:00,4919,2026-07-22T10:05:48.608Z,6014,239,80198
2078205137001316562,xxl_dump,2026-07-17T19:48:10+00:00,2026-07-18T14:28:26.183+00:00,14,2026-07-22T10:05:51.148Z,14,0,230
2078205614853882135,xxl_dump,2026-07-17T19:50:04+00:00,2026-07-18T14:28:26.183+00:00,99489,2026-07-22T10:02:00.901Z,136734,3946,69407
2078206147635368382,xxl_dump,2026-07-17T19:52:11+00:00,2026-07-18T14:28:26.183+00:00,2369631,2026-07-22T10:05:48.608Z,4116198,6371,424628
2078206873384386606,xxl_dump,2026-07-17T19:55:04+00:00,2026-07-18T14:28:26.183+00:00,125242,2026-07-22T10:05:51.148Z,135534,3335,2094400
2078207487631642829,xxl_dump,2026-07-17T19:57:30+00:00,2026-07-18T14:28:26.183+00:00,4570,2026-07-22T10:02:00.901Z,4868,226,15703
2078208039887175924,xxl_dump,2026-07-17T19:59:42+00:00,2026-07-18T14:28:26.183+00:00,152910,2026-07-22T10:05:48.608Z,164043,1200,12389
2078208526376391050,xxl_dump,2026-07-17T20:01:38+00:00,2026-07-18T14:28:26.183+00:00,48,2026-07-22T10:05:51.148Z,63,1,168
2078209097883607507,xxl_dump,2026-07-17T20:03:54+00:00,2026-07-18T14:28:26.183+00:00,378,2026-07-22T10:02:00.901Z,408,5,22783
2078209606765949360,xxl_dump,2026-07-17T20:05:56+00:00,2026-07-18T14:28:26.183+00:00,67878,2026-07-22T10:05:48.608Z,85146,2063,86945
2078210263640350890,xxl_dump,2026-07-17T20:08:32+00:00,2026-07-18T14:28:26.183+00:00,3693,2026-07-22T10:05:51.148Z,4037,197,78515
2078210766843380135,xxl_dump,2026-07-17T20:10:32+00:00,2026-07-18T14:28:26.183+00:00,85671,2026-07-22T10:02:00.901Z,301584,1371,2361
2078211475680743662,xxl_dump,2026-07-17T20:13:21+00:00,2026-07-18T14:28:26.183+00:00,199,2026-07-22T10:05:48.608Z,3295,1,9077
2078212124065878402,xxl_dump,2026-07-17T20:15:56+00:00,2026-07-18T14:28:26.183+00:00,2038,2026-07-22T10:05:51.148Z,2330,39,7739
2078212822668861781,xxl_dump,2026-07-17T20:18:42+00:00,2026-07-18T14:28:26.183+00:00,3,2026-07-22T10:02:00.901Z,4,0,1506
2078213497758814450,xxl_dump,2026-07-17T20:21:23+00:00,2026-07-18T14:28:26.183+00:00,311297,2026-07-22T10:05:48.608Z,561281,47054,5226
2078214021807849640,xxl_dump,2026-07-17T20:23:28+00:00,2026-07-18T14:28:26.183+00:00,1976,2026-07-22T10:05:51.148Z,2023,27,3940
2078214580052873367,xxl_dump,2026-07-17T20:25:41+00:00,2026-07-18T14:28:26.183+00:00,2981,2026-07-22T10:02:00.901Z,3656,49,20640
